SEQN,age,education,male,female
31130,85,4,0,1
31131,44,4,0,1
31132,70,5,1,0
31134,73,3,1,0
31136,41,4,0,1
31144,21,3,1,0
31149,85,2,0,1
31150,79,3,1,0
31151,59,3,0,1
31152,27,3,0,1
31153,44,3,0,1
31154,62,3,1,0
31155,38,5,1,0
31156,43,4,0,1
31158,71,4,1,0
31160,39,2,0,1
31162,71,3,0,1
31164,54,4,1,0
31167,37,4,1,0
31172,20,2,0,1
31175,75,1,1,0
31179,71,3,1,0
31183,33,5,0,1
31186,46,1,0,1
31187,22,4,0,1
31190,72,4,1,0
31191,22,2,0,1
31192,60,4,0,1
31193,51,1,1,0
31194,47,1,0,1
31195,73,4,1,0
31199,25,4,0,1
31203,33,2,0,1
31205,43,4,0,1
31207,20,4,0,1
31208,47,5,0,1
31210,33,3,1,0
31212,23,2,0,1
31213,53,2,0,1
31214,46,4,0,1
31220,50,3,1,0
31221,54,3,0,1
31223,61,2,1,0
31227,64,5,1,0
31228,34,2,1,0
31231,30,5,0,1
31232,56,3,0,1
31233,83,2,1,0
31240,34,5,0,1
31241,40,2,1,0
31242,58,5,1,0
31243,80,5,1,0
31244,23,5,1,0
31248,21,1,1,0
31252,35,4,1,0
31253,26,4,1,0
31254,30,1,1,0
31255,34,2,0,1
31257,70,4,1,0
31258,20,2,1,0
31259,35,4,0,1
31261,49,4,0,1
31262,52,1,1,0
31263,78,1,0,1
31266,62,3,1,0
31268,40,3,0,1
31273,62,2,1,0
31274,56,3,1,0
31276,36,5,1,0
31277,61,5,0,1
31278,65,1,1,0
31279,76,2,0,1
31280,60,3,0,1
31284,80,5,1,0
31285,57,5,0,1
31286,27,4,1,0
31290,41,1,1,0
31291,52,4,1,0
31294,73,4,0,1
31297,85,3,0,1
31298,33,4,0,1
31301,66,2,1,0
31302,24,4,0,1
31303,33,1,0,1
31304,53,1,1,0
31307,77,3,0,1
31308,59,4,1,0
31309,60,1,1,0
31311,71,3,1,0
31314,28,4,1,0
31317,24,4,1,0
31321,25,4,0,1
31323,83,1,1,0
31324,47,4,0,1
31325,27,2,1,0
31332,68,2,1,0
31333,29,4,0,1
31334,55,5,0,1
31336,23,3,0,1
31337,54,4,1,0
31339,85,2,0,1
31343,61,4,0,1
31344,55,5,0,1
31345,67,2,0,1
31348,62,2,1,0
31350,27,3,0,1
31353,53,3,1,0
31357,85,2,0,1
31358,62,4,0,1
31361,30,4,0,1
31363,28,2,1,0
31367,85,3,0,1
31368,69,3,0,1
31372,48,4,0,1
31379,79,2,0,1
31380,69,2,1,0
31381,34,2,0,1
31382,61,4,1,0
31383,27,3,0,1
31386,45,2,0,1
31387,40,3,0,1
31388,60,3,0,1
31391,49,2,1,0
31392,61,3,1,0
31393,70,1,1,0
31396,55,4,0,1
31399,59,4,1,0
31400,78,4,0,1
31403,21,4,0,1
31406,20,2,0,1
31407,64,5,0,1
31410,42,5,1,0
31413,34,3,1,0
31415,23,1,0,1
31416,52,5,0,1
31420,29,1,1,0
31425,63,4,0,1
31429,40,2,1,0
31431,20,2,0,1
31432,45,5,0,1
31434,57,1,1,0
31435,38,3,1,0
31437,59,4,0,1
31439,31,5,0,1
31440,30,4,1,0
31441,62,4,1,0
31442,67,4,1,0
31444,38,1,1,0
31447,85,3,1,0
31449,37,4,0,1
31452,54,5,0,1
31454,75,1,1,0
31455,33,4,1,0
31457,61,3,0,1
31460,37,4,1,0
31463,48,3,1,0
31464,64,5,1,0
31468,55,2,1,0
31469,74,5,0,1
31470,26,3,0,1
31471,49,2,0,1
31472,76,4,1,0
31477,35,1,1,0
31483,50,4,1,0
31486,50,2,1,0
31487,37,4,0,1
31488,38,4,1,0
31491,46,4,0,1
31496,51,4,0,1
31497,50,3,0,1
31498,63,1,0,1
31501,34,4,1,0
31502,38,3,0,1
31503,47,4,1,0
31504,46,5,1,0
31506,73,1,1,0
31508,73,2,1,0
31509,35,4,1,0
31510,32,2,1,0
31512,51,1,1,0
31513,65,3,1,0
31517,51,3,0,1
31518,40,4,0,1
31519,57,3,0,1
31520,53,2,1,0
31522,28,3,1,0
31524,52,3,0,1
31525,33,5,0,1
31527,59,4,1,0
31528,20,3,1,0
31529,42,3,0,1
31530,28,4,0,1
31531,80,4,0,1
31533,20,4,0,1
31534,23,2,1,0
31535,21,3,0,1
31542,34,4,1,0
31545,33,1,0,1
31546,80,2,0,1
31547,27,1,1,0
31548,69,1,1,0
31550,23,4,1,0
31551,53,4,0,1
31553,48,3,1,0
31555,43,3,1,0
31557,36,2,1,0
31558,85,2,1,0
31559,66,3,0,1
31563,61,3,0,1
31567,55,5,1,0
31569,62,3,0,1
31570,52,4,1,0
31573,65,3,0,1
31576,51,2,1,0
31577,52,4,0,1
31582,37,4,1,0
31585,40,4,0,1
31587,70,1,1,0
31590,49,2,1,0
31591,51,5,1,0
31592,62,1,0,1
31593,58,3,0,1
31599,42,5,1,0
31601,82,4,0,1
31603,79,2,1,0
31606,78,3,0,1
31608,40,5,1,0
31609,44,2,1,0
31610,85,4,1,0
31615,47,4,0,1
31619,31,4,0,1
31620,53,4,0,1
31622,71,3,0,1
31625,63,1,1,0
31630,33,5,0,1
31633,85,2,0,1
31634,67,1,1,0
31635,27,1,0,1
31636,72,1,0,1
31638,22,5,0,1
31639,22,2,0,1
31640,44,2,0,1
31649,47,5,1,0
31652,23,4,0,1
31657,73,1,1,0
31658,46,4,0,1
31661,48,5,1,0
31662,44,3,0,1
31663,76,3,1,0
31666,39,3,1,0
31668,85,4,0,1
31669,25,3,0,1
31674,28,4,0,1
31679,36,4,1,0
31680,24,2,0,1
31681,22,3,1,0
31690,38,4,0,1
31691,52,5,1,0
31699,31,4,1,0
31700,36,3,0,1
31702,22,4,1,0
31703,44,5,1,0
31706,45,5,0,1
31707,75,3,0,1
31708,29,2,0,1
31709,39,3,1,0
31710,42,4,1,0
31711,23,3,0,1
31712,31,2,0,1
31714,21,2,1,0
31717,45,1,0,1
31720,73,3,0,1
31721,62,4,1,0
31724,37,5,0,1
31725,48,3,0,1
31729,80,3,1,0
31732,53,3,1,0
31733,79,5,1,0
31734,64,4,1,0
31736,79,1,1,0
31739,27,4,1,0
31740,28,5,0,1
31741,75,4,1,0
31742,25,4,0,1
31744,65,2,0,1
31746,77,1,0,1
31747,37,5,1,0
31748,50,4,1,0
31751,25,3,0,1
31752,51,2,1,0
31755,47,1,1,0
31757,27,3,1,0
31762,70,1,0,1
31764,51,3,0,1
31765,70,4,1,0
31767,45,3,0,1
31771,32,2,1,0
31777,61,1,1,0
31778,41,4,1,0
31779,55,1,1,0
31781,58,4,0,1
31785,83,4,0,1
31786,27,4,1,0
31787,58,4,1,0
31789,53,3,1,0
31793,27,1,0,1
31795,60,1,0,1
31796,60,2,1,0
31799,47,5,0,1
31800,60,3,0,1
31802,60,3,0,1
31804,52,4,0,1
31805,20,4,1,0
31807,57,5,0,1
31808,79,5,1,0
31813,47,4,0,1
31814,58,4,1,0
31816,26,4,0,1
31820,58,2,1,0
31821,25,4,0,1
31822,28,4,0,1
31824,22,4,0,1
31827,46,2,0,1
31830,62,3,0,1
31831,46,3,1,0
31833,41,1,1,0
31837,24,2,0,1
31839,23,3,0,1
31843,54,4,0,1
31846,80,4,1,0
31847,35,4,0,1
31852,20,3,0,1
31857,74,4,0,1
31858,37,3,1,0
31859,46,4,0,1
31861,22,5,0,1
31863,29,4,0,1
31868,22,4,1,0
31870,21,4,0,1
31871,23,2,0,1
31873,32,3,1,0
31874,29,2,0,1
31877,62,4,1,0
31878,55,4,1,0
31888,22,3,1,0
31893,81,4,0,1
31894,61,4,0,1
31895,74,5,1,0
31897,79,4,1,0
31898,73,5,1,0
31899,40,1,1,0
31902,33,5,0,1
31903,73,5,0,1
31913,48,4,0,1
31914,51,3,1,0
31921,20,3,0,1
31922,31,5,1,0
31923,65,3,1,0
31924,20,2,0,1
31926,51,3,0,1
31929,20,4,0,1
31930,22,3,0,1
31936,22,3,0,1
31937,57,4,1,0
31939,41,4,1,0
31941,79,3,1,0
31943,65,5,0,1
31944,66,4,0,1
31945,67,1,1,0
31946,65,3,0,1
31947,61,2,0,1
31948,37,2,0,1
31953,33,5,0,1
31958,49,4,0,1
31959,52,5,0,1
31960,56,1,1,0
31961,29,3,1,0
31962,54,3,0,1
31964,77,5,1,0
31966,60,4,0,1
31967,63,2,0,1
31972,73,2,0,1
31973,23,3,1,0
31975,51,4,0,1
31976,44,3,0,1
31978,46,4,0,1
31979,51,5,1,0
31980,24,4,0,1
31983,22,2,1,0
31985,31,4,0,1
31987,29,2,1,0
31989,37,1,1,0
31990,55,3,1,0
31991,33,4,0,1
31992,81,4,1,0
31993,61,4,0,1
31994,48,4,1,0
31996,28,2,0,1
31997,62,4,0,1
31998,39,2,0,1
32001,41,4,0,1
32003,77,3,0,1
32007,55,3,1,0
32008,62,3,1,0
32011,74,4,0,1
32012,30,4,0,1
32013,58,5,0,1
32014,59,4,0,1
32015,60,4,0,1
32016,29,4,0,1
32017,59,1,0,1
32020,64,4,1,0
32022,70,1,1,0
32024,47,2,1,0
32027,24,3,1,0
32028,22,5,0,1
32030,80,2,1,0
32035,60,4,1,0
32036,44,3,0,1
32037,34,1,1,0
32038,61,2,1,0
32039,77,3,1,0
32040,25,5,1,0
32042,66,2,0,1
32044,53,5,0,1
32045,85,1,0,1
32046,33,4,0,1
32048,29,4,0,1
32055,30,3,0,1
32059,85,3,1,0
32061,79,3,0,1
32062,73,1,1,0
32066,65,2,1,0
32067,22,3,0,1
32068,81,1,0,1
32071,48,3,1,0
32075,85,3,0,1
32079,50,4,1,0
32081,35,1,0,1
32082,60,3,1,0
32084,79,1,1,0
32085,28,3,0,1
32086,40,2,1,0
32089,27,4,0,1
32091,30,2,1,0
32093,53,4,1,0
32094,45,3,0,1
32098,21,3,0,1
32099,65,2,1,0
32104,33,2,1,0
32107,50,5,1,0
32109,32,2,1,0
32110,62,1,0,1
32112,41,4,1,0
32113,62,2,0,1
32114,40,2,1,0
32115,26,3,0,1
32118,62,4,1,0
32120,72,4,0,1
32122,22,5,1,0
32127,49,5,0,1
32129,70,5,1,0
32130,20,4,0,1
32132,31,4,0,1
32133,30,5,0,1
32135,38,5,0,1
32136,42,4,0,1
32138,47,4,0,1
32140,69,4,0,1
32141,35,5,1,0
32143,58,3,1,0
32145,21,4,0,1
32149,29,4,0,1
32150,30,5,0,1
32153,43,3,0,1
32154,63,3,0,1
32156,85,3,0,1
32161,38,3,0,1
32162,26,1,0,1
32163,47,1,0,1
32164,22,3,1,0
32165,40,1,1,0
32167,75,3,1,0
32168,57,4,1,0
32169,29,4,0,1
32173,32,4,1,0
32175,51,4,1,0
32179,53,1,0,1
32180,31,5,0,1
32181,85,3,1,0
32183,23,3,0,1
32189,26,4,1,0
32193,76,4,1,0
32194,70,4,1,0
32197,43,1,0,1
32198,21,4,0,1
32199,27,4,0,1
32200,60,1,0,1
32201,53,4,0,1
32202,81,3,1,0
32204,40,4,0,1
32205,35,3,0,1
32207,45,2,1,0
32208,36,3,0,1
32211,55,4,1,0
32212,46,3,1,0
32214,45,3,0,1
32216,53,4,0,1
32220,76,2,1,0
32221,36,3,1,0
32223,23,3,0,1
32224,85,1,0,1
32225,23,2,1,0
32226,40,5,1,0
32229,61,5,1,0
32230,59,5,1,0
32239,60,3,0,1
32240,35,4,0,1
32241,25,4,1,0
32245,61,5,1,0
32246,27,1,0,1
32249,21,3,1,0
32250,29,5,0,1
32251,35,3,1,0
32254,65,5,1,0
32256,42,1,0,1
32265,69,2,0,1
32266,32,3,1,0
32267,54,3,1,0
32268,65,3,1,0
32270,57,4,0,1
32271,83,5,1,0
32272,83,2,0,1
32273,28,1,1,0
32279,73,4,0,1
32283,62,1,1,0
32286,21,3,0,1
32287,35,3,1,0
32290,43,3,0,1
32292,24,4,0,1
32294,77,3,0,1
32295,50,5,1,0
32296,43,5,1,0
32297,27,4,1,0
32298,62,3,0,1
32300,53,5,1,0
32303,30,2,1,0
32304,34,3,1,0
32309,24,4,0,1
32312,83,1,1,0
32316,85,2,0,1
32321,66,5,1,0
32324,34,5,1,0
32325,36,1,1,0
32328,81,4,0,1
32333,45,3,0,1
32334,43,3,1,0
32335,49,4,0,1
32338,35,2,0,1
32342,58,4,0,1
32343,61,3,0,1
32345,24,5,0,1
32349,32,4,0,1
32350,76,2,1,0
32355,63,1,1,0
32357,31,4,1,0
32358,53,1,1,0
32359,41,4,0,1
32360,55,3,0,1
32361,24,3,1,0
32362,28,2,0,1
32363,32,2,0,1
32368,42,4,0,1
32370,31,5,1,0
32377,72,3,0,1
32378,20,2,0,1
32381,32,5,0,1
32382,38,5,0,1
32383,83,3,0,1
32385,28,1,1,0
32386,34,5,1,0
32388,55,3,1,0
32389,28,4,1,0
32391,42,3,0,1
32393,20,3,0,1
32394,20,4,1,0
32396,20,2,1,0
32401,40,3,0,1
32403,78,3,0,1
32404,22,3,1,0
32405,36,3,0,1
32406,50,4,1,0
32408,39,2,1,0
32409,24,1,0,1
32414,78,3,0,1
32416,83,1,1,0
32419,29,4,0,1
32428,63,3,0,1
32429,21,4,1,0
32430,21,4,1,0
32436,51,3,0,1
32437,25,4,1,0
32439,85,1,0,1
32440,72,2,1,0
32441,38,4,0,1
32442,72,1,1,0
32443,69,4,0,1
32444,85,1,1,0
32447,65,4,1,0
32452,74,5,1,0
32453,68,3,0,1
32455,85,5,1,0
32459,62,4,0,1
32463,56,3,1,0
32467,48,3,0,1
32470,40,2,0,1
32477,41,4,0,1
32478,27,5,0,1
32481,64,3,0,1
32483,40,1,1,0
32485,24,4,1,0
32488,50,4,0,1
32489,62,2,1,0
32490,22,1,0,1
32491,29,2,0,1
32494,37,3,1,0
32497,74,3,0,1
32500,22,4,1,0
32502,23,4,0,1
32503,29,2,0,1
32504,58,4,1,0
32505,22,2,0,1
32506,25,4,1,0
32507,23,3,0,1
32509,25,2,1,0
32513,22,3,0,1
32517,61,4,1,0
32520,38,3,1,0
32521,53,3,1,0
32523,35,3,1,0
32526,51,4,0,1
32530,72,4,0,1
32531,55,4,1,0
32540,60,2,0,1
32543,26,5,0,1
32548,64,2,1,0
32550,56,3,1,0
32551,44,5,1,0
32552,26,3,0,1
32556,41,5,0,1
32560,23,4,0,1
32564,43,3,1,0
32565,48,3,0,1
32566,43,3,1,0
32570,38,4,1,0
32572,25,4,0,1
32573,46,4,1,0
32574,55,4,1,0
32575,24,4,0,1
32577,45,4,1,0
32581,83,3,0,1
32582,33,3,0,1
32583,28,4,0,1
32586,67,5,0,1
32588,65,5,1,0
32591,52,2,0,1
32592,51,3,1,0
32596,29,2,0,1
32597,44,4,0,1
32599,45,3,0,1
32600,34,2,0,1
32601,58,2,0,1
32602,85,2,1,0
32605,39,2,1,0
32609,45,2,1,0
32611,33,2,0,1
32613,22,3,1,0
32615,64,1,0,1
32616,24,2,0,1
32618,64,4,0,1
32619,52,1,1,0
32620,51,1,1,0
32621,23,1,1,0
32624,74,4,0,1
32626,33,4,0,1
32627,45,4,0,1
32629,71,3,0,1
32630,60,5,1,0
32632,55,3,0,1
32634,34,3,1,0
32636,41,4,0,1
32640,39,3,1,0
32641,50,4,1,0
32644,84,1,1,0
32649,26,5,0,1
32650,31,4,1,0
32651,39,2,0,1
32653,20,2,1,0
32654,23,4,0,1
32655,31,4,0,1
32656,20,4,0,1
32663,40,2,0,1
32666,85,3,1,0
32668,34,2,0,1
32671,29,5,0,1
32674,26,5,0,1
32677,53,4,0,1
32680,33,5,1,0
32681,67,5,0,1
32684,67,3,0,1
32687,74,1,0,1
32688,63,2,0,1
32689,31,2,0,1
32690,56,5,0,1
32691,43,3,1,0
32693,21,4,0,1
32694,85,3,0,1
32696,69,4,1,0
32697,67,3,1,0
32703,71,5,1,0
32704,33,3,0,1
32706,43,2,1,0
32708,53,3,0,1
32709,47,4,0,1
32710,82,3,0,1
32711,60,1,0,1
32712,27,3,0,1
32713,45,5,0,1
32714,26,5,0,1
32716,66,2,0,1
32717,42,2,0,1
32722,28,1,1,0
32724,23,5,1,0
32727,65,2,1,0
32729,85,3,0,1
32731,31,4,1,0
32732,61,5,0,1
32733,40,5,0,1
32734,22,3,1,0
32738,20,2,1,0
32742,55,3,1,0
32743,75,1,1,0
32745,43,3,0,1
32749,58,4,0,1
32751,24,3,0,1
32755,31,3,1,0
32756,69,3,1,0
32757,28,5,0,1
32759,38,5,0,1
32761,85,5,1,0
32767,36,3,1,0
32768,28,3,0,1
32770,58,3,1,0
32771,47,4,0,1
32775,69,1,1,0
32779,39,4,1,0
32781,26,4,0,1
32784,84,1,0,1
32789,27,5,0,1
32791,28,5,0,1
32792,62,1,0,1
32794,26,2,0,1
32795,24,3,0,1
32799,31,5,1,0
32802,34,5,0,1
32804,80,2,1,0
32808,76,4,0,1
32812,49,2,0,1
32813,41,2,0,1
32817,66,5,0,1
32819,26,4,1,0
32821,60,5,0,1
32825,37,4,1,0
32829,21,4,1,0
32832,75,3,0,1
32833,30,4,0,1
32835,33,4,1,0
32836,39,4,0,1
32837,33,4,1,0
32838,22,3,1,0
32842,53,5,0,1
32849,28,4,0,1
32855,85,2,0,1
32856,35,3,0,1
32857,42,3,0,1
32858,71,3,0,1
32859,65,4,0,1
32868,41,3,0,1
32870,25,3,0,1
32875,81,2,0,1
32877,54,4,1,0
32880,62,2,0,1
32881,23,2,0,1
32885,48,4,0,1
32889,27,1,0,1
32891,59,2,1,0
32892,34,4,1,0
32897,54,3,0,1
32900,30,4,1,0
32901,24,5,1,0
32904,29,5,0,1
32908,62,3,0,1
32910,39,3,1,0
32915,20,3,0,1
32916,29,4,0,1
32917,49,5,0,1
32918,64,2,0,1
32919,31,2,1,0
32921,23,2,1,0
32922,31,5,0,1
32923,23,5,0,1
32924,53,1,1,0
32925,43,2,1,0
32926,70,5,1,0
32930,29,2,0,1
32931,38,1,1,0
32932,74,1,1,0
32938,79,3,0,1
32941,56,4,0,1
32943,63,2,0,1
32946,39,4,1,0
32947,48,4,1,0
32948,38,2,1,0
32950,44,2,1,0
32952,76,5,0,1
32954,73,3,0,1
32956,28,4,0,1
32958,45,4,0,1
32959,51,4,0,1
32960,42,2,0,1
32962,40,4,0,1
32963,32,2,1,0
32964,30,5,0,1
32965,40,4,1,0
32969,78,3,1,0
32972,67,3,0,1
32976,30,2,1,0
32977,37,1,1,0
32979,50,3,1,0
32980,47,5,1,0
32984,64,2,1,0
32986,45,5,0,1
32988,39,4,1,0
32989,66,1,0,1
32991,64,4,0,1
32996,23,3,0,1
32997,41,4,1,0
33001,82,3,1,0
33002,67,3,0,1
33004,58,3,0,1
33005,58,5,0,1
33006,80,4,1,0
33007,40,4,1,0
33010,25,1,1,0
33011,27,4,0,1
33012,57,5,1,0
33014,35,5,0,1
33020,39,4,1,0
33022,30,4,0,1
33023,29,4,1,0
33026,36,5,1,0
33028,27,3,1,0
33029,24,4,1,0
33037,35,5,1,0
33039,26,2,1,0
33042,28,2,1,0
33046,30,4,0,1
33047,58,5,0,1
33050,62,3,0,1
33055,39,5,1,0
33059,38,1,0,1
33060,28,3,1,0
33061,50,5,0,1
33067,38,3,0,1
33069,80,1,1,0
33071,69,2,0,1
33072,33,5,0,1
33073,41,4,0,1
33076,54,1,1,0
33077,72,4,1,0
33080,44,5,1,0
33081,42,2,1,0
33082,21,4,0,1
33086,56,5,1,0
33088,46,4,0,1
33092,32,4,0,1
33093,74,3,1,0
33095,31,4,1,0
33096,81,5,1,0
33099,51,5,0,1
33107,57,5,0,1
33108,81,2,0,1
33109,30,4,1,0
33114,64,4,1,0
33116,27,1,0,1
33117,45,4,1,0
33121,49,3,1,0
33123,52,4,0,1
33126,59,4,1,0
33128,28,3,0,1
33130,27,2,1,0
33131,33,3,0,1
33134,42,4,1,0
33139,34,1,0,1
33140,42,1,1,0
33144,58,5,1,0
33146,28,5,0,1
33153,82,5,1,0
33154,46,3,1,0
33161,33,3,1,0
33162,51,3,1,0
33163,21,4,0,1
33166,27,5,1,0
33168,52,3,1,0
33169,20,4,0,1
33170,42,3,0,1
33171,27,4,0,1
33177,40,5,0,1
33178,45,3,0,1
33181,40,5,0,1
33182,73,3,1,0
33183,26,3,1,0
33184,77,1,1,0
33186,38,1,1,0
33187,41,4,1,0
33190,32,3,1,0
33191,47,3,1,0
33192,47,4,0,1
33196,28,5,0,1
33197,85,4,0,1
33198,34,4,0,1
33200,50,2,0,1
33201,51,4,0,1
33202,43,4,1,0
33206,32,5,0,1
33207,62,2,0,1
33209,73,1,0,1
33213,50,4,0,1
33214,62,4,1,0
33217,24,5,1,0
33221,40,1,1,0
33223,45,3,1,0
33225,23,4,0,1
33227,21,4,0,1
33228,44,2,1,0
33229,29,1,0,1
33230,41,3,1,0
33231,29,3,1,0
33232,31,4,0,1
33235,66,5,1,0
33236,68,4,0,1
33239,20,2,1,0
33240,46,5,1,0
33241,39,3,1,0
33242,33,1,1,0
33244,28,3,0,1
33245,32,4,0,1
33246,73,4,0,1
33247,55,5,0,1
33249,30,3,1,0
33256,38,5,1,0
33257,24,2,1,0
33260,67,2,1,0
33261,51,3,1,0
33262,29,1,0,1
33263,61,1,1,0
33264,20,3,1,0
33265,85,4,1,0
33268,64,4,0,1
33270,36,2,1,0
33271,68,1,1,0
33272,32,4,1,0
33273,38,5,0,1
33274,53,3,0,1
33275,42,4,1,0
33277,77,1,0,1
33280,35,4,0,1
33283,43,3,1,0
33284,53,5,0,1
33285,81,1,1,0
33287,44,4,0,1
33289,37,2,1,0
33290,85,1,1,0
33291,79,5,1,0
33294,60,5,0,1
33300,48,2,0,1
33302,56,4,1,0
33307,51,3,1,0
33308,32,5,0,1
33309,28,4,0,1
33316,74,3,1,0
33317,28,5,0,1
33319,46,3,0,1
33320,85,2,0,1
33321,63,4,1,0
33323,27,3,0,1
33324,70,1,1,0
33327,20,4,1,0
33328,52,3,1,0
33329,54,4,1,0
33330,35,3,0,1
33331,56,2,0,1
33335,54,3,1,0
33337,68,1,0,1
33338,85,4,0,1
33344,27,3,1,0
33345,46,5,0,1
33346,72,3,0,1
33347,45,2,1,0
33348,23,1,1,0
33356,70,3,1,0
33357,45,4,0,1
33358,29,2,0,1
33359,23,2,0,1
33360,28,3,1,0
